id,Name,years,Remarks
636,Potential clone entity – Affin Hwang Capital,2021,listed in securities commision INVESTOR ALERT LIST
637,Ar-Rahman General Trading Sdn Bhd / Syarikat Ar-Rahman Investment,2021,listed in securities commision INVESTOR ALERT LIST
638,Advantage Trader / My Advance Trader,2021,listed in securities commision INVESTOR ALERT LIST
639,ATFX / ATFX Global,2021,listed in securities commision INVESTOR ALERT LIST
640,AMC Management & Services,2021,listed in securities commision INVESTOR ALERT LIST
641,BMironics Asset Management,2021,listed in securities commision INVESTOR ALERT LIST
642,BTC USD Investment,2021,listed in securities commision INVESTOR ALERT LIST
643,BTC Financial Trading Investment,2021,listed in securities commision INVESTOR ALERT LIST
644,BTCLoan Finance,2021,listed in securities commision INVESTOR ALERT LIST
645,BMiner Capital Management,2021,listed in securities commision INVESTOR ALERT LIST
646,Potential clone entity – Binotech Jaya Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
647,Bitxtrade Online Sdn Bhd. (“Bitxtrade”),2021,listed in securities commision INVESTOR ALERT LIST
648,Bursa Malaysia Free Trading,2021,listed in securities commision INVESTOR ALERT LIST
649,Billion Capital Trading,2021,listed in securities commision INVESTOR ALERT LIST
650,BeGold Trading Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
651,Cryptocoin.my / Cryptocoin Binary,2021,listed in securities commision INVESTOR ALERT LIST
652,Cloud Technical Analysis (Clement Tan),2021,listed in securities commision INVESTOR ALERT LIST
653,Coinvest-Trade / Co.Invest.Trader,2021,listed in securities commision INVESTOR ALERT LIST
654,Classic 33 Trading,2021,listed in securities commision INVESTOR ALERT LIST
655,Cahaya Maju Investment,2021,listed in securities commision INVESTOR ALERT LIST
656,Chen Qiang Qiang,2021,listed in securities commision INVESTOR ALERT LIST
657,CBM Holding Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
658,Capital Blooming,2021,listed in securities commision INVESTOR ALERT LIST
659,Cappacity Fx Trading,2021,listed in securities commision INVESTOR ALERT LIST
660,CP Markets (Cooper Markets) / Coopermarkets Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
661,Dollars Markets,2021,listed in securities commision INVESTOR ALERT LIST
662,DS Investment,2021,listed in securities commision INVESTOR ALERT LIST
663,Potential clone entity – DooPrime Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
664,easy Markets,2021,listed in securities commision INVESTOR ALERT LIST
665,Exness Trading,2021,listed in securities commision INVESTOR ALERT LIST
666,Era Capital,2021,listed in securities commision INVESTOR ALERT LIST
667,Eagle Eyes Traders,2021,listed in securities commision INVESTOR ALERT LIST
668,Eiseng Equity (L) Ltd / Eisenguard Equity Venture,2021,listed in securities commision INVESTOR ALERT LIST
669,Potential clone entity – E.V.A. Investment Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
670,Potential clone entity - E-Trade,2021,listed in securities commision INVESTOR ALERT LIST
671,FININV / Finad Advisory,2021,listed in securities commision INVESTOR ALERT LIST
672,Fizzy Had (Hafiza Binti Had),2021,listed in securities commision INVESTOR ALERT LIST
673,Potential clone entity – Financial Planners Integrated,2021,listed in securities commision INVESTOR ALERT LIST
674,FxPro,2021,listed in securities commision INVESTOR ALERT LIST
675,FBS Malaysia / FX Trade Pro,2021,listed in securities commision INVESTOR ALERT LIST
676,Fullerton Markets International Limited,2021,listed in securities commision INVESTOR ALERT LIST
677,Potential clone entity – MyFP Markets,2021,listed in securities commision INVESTOR ALERT LIST
678,FXTM,2021,listed in securities commision INVESTOR ALERT LIST
679,FXCM,2021,listed in securities commision INVESTOR ALERT LIST
680,Global Binance / PGB Investment / Global Binance Syariah,2021,listed in securities commision INVESTOR ALERT LIST
681,Global You Trade,2021,listed in securities commision INVESTOR ALERT LIST
682,Global Investment Bank (GIB) & Capital Trust,2021,listed in securities commision INVESTOR ALERT LIST
683,Golden Trading,2021,listed in securities commision INVESTOR ALERT LIST
684,Global Kraken,2021,listed in securities commision INVESTOR ALERT LIST
685,Golden Age Asset Management Ltd,2021,listed in securities commision INVESTOR ALERT LIST
686,GeneX,2021,listed in securities commision INVESTOR ALERT LIST
687,Potential clone entity – HSB Trader,2021,listed in securities commision INVESTOR ALERT LIST
688,Hextra Prime,2021,listed in securities commision INVESTOR ALERT LIST
689,HYCM,2021,listed in securities commision INVESTOR ALERT LIST
690,HXFX Global,2021,listed in securities commision INVESTOR ALERT LIST
691,Intraderkor,2021,listed in securities commision INVESTOR ALERT LIST
692,InstaCrypto.pro,2021,listed in securities commision INVESTOR ALERT LIST
693,Potential clone entity – Infinity International Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
694,Investors Wizard,2021,listed in securities commision INVESTOR ALERT LIST
695,Investby,2021,listed in securities commision INVESTOR ALERT LIST
696,Impiana Capital Financing & Solutions (ICFS Group),2021,listed in securities commision INVESTOR ALERT LIST
697,Potential clone entity – Incentive Remit Sdn Bhd (“Incentive Remit”),2021,listed in securities commision INVESTOR ALERT LIST
698,I-Makmur Ventures,2021,listed in securities commision INVESTOR ALERT LIST
699,Infinox,2021,listed in securities commision INVESTOR ALERT LIST
700,JD Group,2021,listed in securities commision INVESTOR ALERT LIST
701,KLSEweSHAREFerraRI,2021,listed in securities commision INVESTOR ALERT LIST
702,Kim’s Stockwatch / Ahmad Hakimi Bin Tajul Arus,2021,listed in securities commision INVESTOR ALERT LIST
703,Potential clone entity – Luno Trader / Luno Gold Trader,2021,listed in securities commision INVESTOR ALERT LIST
704,Potential clone entity – Level Gride Speculation Management,2021,listed in securities commision INVESTOR ALERT LIST
705,LSD Capital Resources,2021,listed in securities commision INVESTOR ALERT LIST
706,Potential clone entity – L.G. Investments Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
707,Potential clone entity – Labur Saham Syariah,2021,listed in securities commision INVESTOR ALERT LIST
708,Madinah Mining / Madinah Mining Investment Pte Ltd,2021,listed in securities commision INVESTOR ALERT LIST
709,MFM Securities / MFM Broker,2021,listed in securities commision INVESTOR ALERT LIST
710,Massive E-Trade,2021,listed in securities commision INVESTOR ALERT LIST
711,Mei Sheng Share,2021,listed in securities commision INVESTOR ALERT LIST
712,Money Life Research,2021,listed in securities commision INVESTOR ALERT LIST
713,Potential clone entity – Muhibah Yatu Pte Ltd (“Muhibah Yatu”),2021,listed in securities commision INVESTOR ALERT LIST
714,MiTrade,2021,listed in securities commision INVESTOR ALERT LIST
715,Mining Guru.net,2021,listed in securities commision INVESTOR ALERT LIST
716,M4Markets,2021,listed in securities commision INVESTOR ALERT LIST
717,Potential clone entity – Mapletree Investment Malaysia (“Mapletree”),2021,listed in securities commision INVESTOR ALERT LIST
718,Potential clone entity – Norly Trading,2021,listed in securities commision INVESTOR ALERT LIST
719,Potential clone entity – Noor Investment Kuwait,2021,listed in securities commision INVESTOR ALERT LIST
720,Newstock2021 / Christopher Ng Yeow Chong,2021,listed in securities commision INVESTOR ALERT LIST
721,Potential clone entity – http://nexea-invest.com / http://www.nexea-capital.com/ / https://nexeatrading.com/,2021,listed in securities commision INVESTOR ALERT LIST
722,Potential clone entity – OctaFX,2021,listed in securities commision INVESTOR ALERT LIST
723,Pelaburan Saham Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
724,Preferred Trusts,2021,listed in securities commision INVESTOR ALERT LIST
725,Prodigy Trading Analysis,2021,listed in securities commision INVESTOR ALERT LIST
726,PrimaFx / PrimaFx Academy,2021,listed in securities commision INVESTOR ALERT LIST
727,Potential clone entity – PMB Investment,2021,listed in securities commision INVESTOR ALERT LIST
728,Pharma Murni Invest,2021,listed in securities commision INVESTOR ALERT LIST
729,Prixo Markets,2021,listed in securities commision INVESTOR ALERT LIST
730,Quotex,2021,listed in securities commision INVESTOR ALERT LIST
731,Quantic Venture,2021,listed in securities commision INVESTOR ALERT LIST
732,RimauSwap,2021,listed in securities commision INVESTOR ALERT LIST
733,Royal Q / Sejahtera Investing Malaysia / UG Automatik Malaya Berhad,2021,listed in securities commision INVESTOR ALERT LIST
734,Roboforex / Roboforex Trading Service Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
735,RAY-E Securities,2021,listed in securities commision INVESTOR ALERT LIST
736,Residence Trader Club - RTC,2021,listed in securities commision INVESTOR ALERT LIST
737,RichMax Investment House,2021,listed in securities commision INVESTOR ALERT LIST
738,Ruby Markets,2021,listed in securities commision INVESTOR ALERT LIST
739,Red Fort Capital,2021,listed in securities commision INVESTOR ALERT LIST
740,Potential clone entity – STP Investment Sdn. Bhd.,2021,listed in securities commision INVESTOR ALERT LIST
741,Samtrade FX,2021,listed in securities commision INVESTOR ALERT LIST
742,Potential clone entity – Saturna Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
743,Syarikat Halal Invest (Halal Invest),2021,listed in securities commision INVESTOR ALERT LIST
744,SDS Financial,2021,listed in securities commision INVESTOR ALERT LIST
745,Potential clone entity – Syarikat Raiz Investment,2021,listed in securities commision INVESTOR ALERT LIST
746,Secret Sniper 888,2021,listed in securities commision INVESTOR ALERT LIST
747,Sheng Shi Group Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
748,Stock-ING,2021,listed in securities commision INVESTOR ALERT LIST
749,SAMKoin,2021,listed in securities commision INVESTOR ALERT LIST
750,Tifia,2021,listed in securities commision INVESTOR ALERT LIST
751,Top Global Traderfx,2021,listed in securities commision INVESTOR ALERT LIST
752,The Private Placement,2021,listed in securities commision INVESTOR ALERT LIST
753,Potential clone entity – Top Gloves Investment,2021,listed in securities commision INVESTOR ALERT LIST
754,Top 1 Markets,2021,listed in securities commision INVESTOR ALERT LIST
755,Team J Investing (Julias Mah),2021,listed in securities commision INVESTOR ALERT LIST
756,Triumph in Bursa,2021,listed in securities commision INVESTOR ALERT LIST
757,United International Foreign  Investment Center,2021,listed in securities commision INVESTOR ALERT LIST
758,Ultra Saham (Mohamad Firdaus Bin Abdul Rahim) (NRIC No. 900213075019),2021,listed in securities commision INVESTOR ALERT LIST
759,Vintage Futures Asia,2021,listed in securities commision INVESTOR ALERT LIST
760,Videxpert Capital Market / MADC Excellent Resources,2021,listed in securities commision INVESTOR ALERT LIST
761,VT Markets,2021,listed in securities commision INVESTOR ALERT LIST
762,VG Vegas,2021,listed in securities commision INVESTOR ALERT LIST
763,Voxtraders KLSE,2021,listed in securities commision INVESTOR ALERT LIST
764,Potential clone entity – Vanguard Investment / Vanguard Trading / The Van Guardian Global Trading Group Malaysia / The Van Guardian Global Trading Group International,2021,listed in securities commision INVESTOR ALERT LIST
765,Vextrader,2021,listed in securities commision INVESTOR ALERT LIST
766,VantageFX /  Vantage Markets / Vantage Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
767,Potential clone entity – Wahed Halal Digital Investing,2021,listed in securities commision INVESTOR ALERT LIST
768,Potential clone entity – Wahed Premium Invest,2021,listed in securities commision INVESTOR ALERT LIST
769,Wang Harian Dot Com,2021,listed in securities commision INVESTOR ALERT LIST
770,Wahadeed,2021,listed in securities commision INVESTOR ALERT LIST
771,WOTA,2021,listed in securities commision INVESTOR ALERT LIST
772,World Lymph Trading / WL Trade Berhad,2021,listed in securities commision INVESTOR ALERT LIST
773,Xtrade,2021,listed in securities commision INVESTOR ALERT LIST
774,Potential clone entity – http://www.xeraya-capital.com,2021,listed in securities commision INVESTOR ALERT LIST
775,Xsocio Markets,2021,listed in securities commision INVESTOR ALERT LIST
776,Yee Kar Wai,2021,listed in securities commision INVESTOR ALERT LIST
777,Zero Markets,2021,listed in securities commision INVESTOR ALERT LIST
778,KuCoin,2021,listed in securities commision INVESTOR ALERT LIST
779,Tuhoop,2021,listed in securities commision INVESTOR ALERT LIST
780,Bybit,2021,listed in securities commision INVESTOR ALERT LIST
781,Gwallet Global Malaysia (“Gwallet”) / Level G,2021,listed in securities commision INVESTOR ALERT LIST
782,WOWX,2021,listed in securities commision INVESTOR ALERT LIST
783,Sun Coin Fund (SFC 币),2021,listed in securities commision INVESTOR ALERT LIST
784,Global Crypto Exchange,2021,listed in securities commision INVESTOR ALERT LIST
785,Vitae Token,2021,listed in securities commision INVESTOR ALERT LIST
786,DOG.MONEY,2021,listed in securities commision INVESTOR ALERT LIST
787,Big Cash Coin,2021,listed in securities commision INVESTOR ALERT LIST
788,Fastrading,2021,listed in securities commision INVESTOR ALERT LIST
789,E-Paradise,2021,listed in securities commision INVESTOR ALERT LIST
790,OctaFxPower Ltd,2021,listed in securities commision INVESTOR ALERT LIST
791,Jebat Crypto,2021,listed in securities commision INVESTOR ALERT LIST
792,Bitcoin System,2021,listed in securities commision INVESTOR ALERT LIST
793,Potential clone entity – AVA Trade Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
794,Angel & Co,2022,listed in securities commision INVESTOR ALERT LIST
795,Avant Markets,2022,listed in securities commision INVESTOR ALERT LIST
796,Amega,2022,listed in securities commision INVESTOR ALERT LIST
797,Potential clone entity – Amundi Asset Management,2022,listed in securities commision INVESTOR ALERT LIST
798,Potential clone entity – AmBank Islamic Trading,2022,listed in securities commision INVESTOR ALERT LIST
799,Potential clone entity – Aberdeen Standard Investment,2022,listed in securities commision INVESTOR ALERT LIST
800,Potential clone entity – Aberdeen Syariah Asset Investments,2022,listed in securities commision INVESTOR ALERT LIST
801,Al-Saliha Mentari,2022,listed in securities commision INVESTOR ALERT LIST
802,Potential clone entity – Axim Trade Financial Management / Axim Trade Investment,2022,listed in securities commision INVESTOR ALERT LIST
803,Potential clone entity – Asia Trade FX,2022,listed in securities commision INVESTOR ALERT LIST
804,Potential clone entity – Asia Bio Capital,2022,listed in securities commision INVESTOR ALERT LIST
805,Potential clone entity – Assets Global Network,2022,listed in securities commision INVESTOR ALERT LIST
806,ASJ Forex Global,2022,listed in securities commision INVESTOR ALERT LIST
807,AlexisFX,2022,listed in securities commision INVESTOR ALERT LIST
808,Awesome Trader,2022,listed in securities commision INVESTOR ALERT LIST
809,Al-Hamd Islamic Financial Group,2022,listed in securities commision INVESTOR ALERT LIST
810,Potential clone entity – AstroFX,2022,listed in securities commision INVESTOR ALERT LIST
811,Potential clone entity – AVA Financial Trade /  AVA Financial Syariah,2022,listed in securities commision INVESTOR ALERT LIST
812,ASEAN Invest Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
813,Al-Fazza Ventures,2022,listed in securities commision INVESTOR ALERT LIST
814,ACY Securities,2022,listed in securities commision INVESTOR ALERT LIST
815,Potential clone entity – Al Ramz General Trading / Syarikat Al Ramz Investment,2022,listed in securities commision INVESTOR ALERT LIST
816,Bitcoin Up,2022,listed in securities commision INVESTOR ALERT LIST
817,BE Profit,2022,listed in securities commision INVESTOR ALERT LIST
818,Big Business Trading Online,2022,listed in securities commision INVESTOR ALERT LIST
819,Bitcoin Trading Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
820,Binary Commerce / Master Binary Trading Signals,2022,listed in securities commision INVESTOR ALERT LIST
821,BTC Coinhatch,2022,listed in securities commision INVESTOR ALERT LIST
822,Bitcoin Foundation,2022,listed in securities commision INVESTOR ALERT LIST
823,Potential clone entity – Bacera Co Pty Ltd,2022,listed in securities commision INVESTOR ALERT LIST
824,BTC Investment Asia / FX Trading,2022,listed in securities commision INVESTOR ALERT LIST
825,Potential clone entity – Blue Crest Equity,2022,listed in securities commision INVESTOR ALERT LIST
826,Potential clone entity – Bursa Saham Malaysia / Bangkit Pelaburan Saham,2022,listed in securities commision INVESTOR ALERT LIST
827,Binary Financial / Binary Financial Trade,2022,listed in securities commision INVESTOR ALERT LIST
828,Binary Trade Pro / Binary Trade Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
829,Potential clone entity – Best Exchange,2022,listed in securities commision INVESTOR ALERT LIST
830,Capital Bear,2022,listed in securities commision INVESTOR ALERT LIST
831,Potential clone entity – CIMB Islamic FX,2022,listed in securities commision INVESTOR ALERT LIST
832,Crypto Trading / Crypto Trading Syariah,2022,listed in securities commision INVESTOR ALERT LIST
833,Crypto Investment Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
834,Potential clone entity – CIMB Bank Currency,2022,listed in securities commision INVESTOR ALERT LIST
835,CXM Direct,2022,listed in securities commision INVESTOR ALERT LIST
836,Crypto Investmen MYR Group,2022,listed in securities commision INVESTOR ALERT LIST
837,Crypto Option,2022,listed in securities commision INVESTOR ALERT LIST
838,Crypto Currency Trade,2022,listed in securities commision INVESTOR ALERT LIST
839,Capital Financial,2022,listed in securities commision INVESTOR ALERT LIST
840,Potential clone entity – Capital Exbot,2022,listed in securities commision INVESTOR ALERT LIST
841,Crypto Option,2022,listed in securities commision INVESTOR ALERT LIST
842,Capital Raising Ventures International / Millennial Investments,2022,listed in securities commision INVESTOR ALERT LIST
843,CDG Global,2022,listed in securities commision INVESTOR ALERT LIST
844,Potential clone entity – ComethSwap,2022,listed in securities commision INVESTOR ALERT LIST
845,DogeTrade My,2022,listed in securities commision INVESTOR ALERT LIST
846,Potential clone entity – DMG Malaysia / Data Management Group,2022,listed in securities commision INVESTOR ALERT LIST
847,Potential clone entity – Dana Eastspring Investment Berhad,2022,listed in securities commision INVESTOR ALERT LIST
848,Early Billionaire Warriors,2022,listed in securities commision INVESTOR ALERT LIST
849,Expert Option,2022,listed in securities commision INVESTOR ALERT LIST
850,Potential clone entity – Equity Funding Corporation,2022,listed in securities commision INVESTOR ALERT LIST
851,Easy Trading Financial,2022,listed in securities commision INVESTOR ALERT LIST
852,Eisenstein Union,2022,listed in securities commision INVESTOR ALERT LIST
853,Potential clone entity – Elzar Trading Group,2022,listed in securities commision INVESTOR ALERT LIST
854,Potential clone entity – Etoro Financial,2022,listed in securities commision INVESTOR ALERT LIST
855,ETH Trades,2022,listed in securities commision INVESTOR ALERT LIST
856,Extreme Golden,2022,listed in securities commision INVESTOR ALERT LIST
857,Equinox Markets,2022,listed in securities commision INVESTOR ALERT LIST
858,Ex Trader Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
859,Easy Forex,2022,listed in securities commision INVESTOR ALERT LIST
860,Free Royal Investment /  Free Capital,2022,listed in securities commision INVESTOR ALERT LIST
861,FinoFy,2022,listed in securities commision INVESTOR ALERT LIST
862,Fast Trader,2022,listed in securities commision INVESTOR ALERT LIST
863,102 Trader Mida Robot / Forbes Capital Trading / Golden Trading,2022,listed in securities commision INVESTOR ALERT LIST
864,FX Gold Trade MY,2022,listed in securities commision INVESTOR ALERT LIST
865,FCPO Sniper,2022,listed in securities commision INVESTOR ALERT LIST
866,Potential clone entity – FX CE Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
867,Potential clone entity – FTX Investments Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
868,Five Hours Investment,2022,listed in securities commision INVESTOR ALERT LIST
869,Potential clone entity – FSM One Trade,2022,listed in securities commision INVESTOR ALERT LIST
870,Financial Binary,2022,listed in securities commision INVESTOR ALERT LIST
871,Potential clone entity – Felda Invest,2022,listed in securities commision INVESTOR ALERT LIST
872,Forex Optimum,2022,listed in securities commision INVESTOR ALERT LIST
873,Global Investment Network,2022,listed in securities commision INVESTOR ALERT LIST
874,Globisor,2022,listed in securities commision INVESTOR ALERT LIST
875,Global Market Syariah / Global Markets Asia,2022,listed in securities commision INVESTOR ALERT LIST
876,Global Binary Trade,2022,listed in securities commision INVESTOR ALERT LIST
877,Potential clone entity – Green Assets Global,2022,listed in securities commision INVESTOR ALERT LIST
878,Global Binance Pro,2022,listed in securities commision INVESTOR ALERT LIST
879,Gold Master Trade,2022,listed in securities commision INVESTOR ALERT LIST
880,Global Trader Pro,2022,listed in securities commision INVESTOR ALERT LIST
881,Global Trading Forex / Global Trading Asia,2022,listed in securities commision INVESTOR ALERT LIST
882,Potential clone entity – Global XM Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
883,Global You Trader,2022,listed in securities commision INVESTOR ALERT LIST
884,Golden Berjaya,2022,listed in securities commision INVESTOR ALERT LIST
885,One Global Pro Investment / Global Pro Investment,2022,listed in securities commision INVESTOR ALERT LIST
886,Global Pro Finance / Global Pro Trader,2022,listed in securities commision INVESTOR ALERT LIST
887,Hairul Capital,2022,listed in securities commision INVESTOR ALERT LIST
888,Holdings Trading,2022,listed in securities commision INVESTOR ALERT LIST
889,Holdings Profit,2022,listed in securities commision INVESTOR ALERT LIST
890,Potential clone entity – Hasbrique Capitale,2022,listed in securities commision INVESTOR ALERT LIST
891,Halley Dragon BTC Mining-Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
892,Potential clone entity – Hot Forex Trade,2022,listed in securities commision INVESTOR ALERT LIST
893,Potential clone entity – Interactive Brokers 9997717,2022,listed in securities commision INVESTOR ALERT LIST
894,Ipot Malay,2022,listed in securities commision INVESTOR ALERT LIST
895,Investment Without Capital,2022,listed in securities commision INVESTOR ALERT LIST
896,Invest Mariox Malaysia / Mariox Trader Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
897,Investment Global Trader Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
898,Potential clone entity – Invest Johor Malaysia Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
899,Potential clone entity – Interactive Broker Invest,2022,listed in securities commision INVESTOR ALERT LIST
900,Potential clone entity – Infinox Trading Power,2022,listed in securities commision INVESTOR ALERT LIST
901,Intraderkor Pro,2022,listed in securities commision INVESTOR ALERT LIST
902,Insta Trade Syariah,2022,listed in securities commision INVESTOR ALERT LIST
903,Potential clone entity – Investure Sdn. Bhd.,2022,listed in securities commision INVESTOR ALERT LIST
904,Invest Tipster,2022,listed in securities commision INVESTOR ALERT LIST
905,Potential clone entity – IQ Option,2022,listed in securities commision INVESTOR ALERT LIST
906,Potential clone entity – Interpac.site,2022,listed in securities commision INVESTOR ALERT LIST
907,Potential clone entity – InvestKL Corporation Malaysia / Invest KL Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
908,Potential clone entity – IntegraFin,2022,listed in securities commision INVESTOR ALERT LIST
909,INV Trade,2022,listed in securities commision INVESTOR ALERT LIST
910,Jaya Asia,2022,listed in securities commision INVESTOR ALERT LIST
911,J Trust Investments,2022,listed in securities commision INVESTOR ALERT LIST
912,Jazeera Isalami,2022,listed in securities commision INVESTOR ALERT LIST
913,Potential clone entity – Jaya Flash Express Trade,2022,listed in securities commision INVESTOR ALERT LIST
914,JF Lenong Investment,2022,listed in securities commision INVESTOR ALERT LIST
915,KapitaleJaya,2022,listed in securities commision INVESTOR ALERT LIST
916,LMJ Master Trade,2022,listed in securities commision INVESTOR ALERT LIST
917,Potential clone entity – Lite Forex,2022,listed in securities commision INVESTOR ALERT LIST
918,Labur Saham Syariah,2022,listed in securities commision INVESTOR ALERT LIST
919,Potential clone entity – Lite Trading,2022,listed in securities commision INVESTOR ALERT LIST
920,Potential clone entity – Luxury Premier Sdn Bhd,2022,listed in securities commision INVESTOR ALERT LIST
921,LiteFinance,2022,listed in securities commision INVESTOR ALERT LIST
922,Mr. USB (Usahawan Saham Bumiputera),2022,listed in securities commision INVESTOR ALERT LIST
923,Max Capital,2022,listed in securities commision INVESTOR ALERT LIST
924,Max Trader Forbes / Forbes Tech / Investment Group / Max Value Trading,2022,listed in securities commision INVESTOR ALERT LIST
925,Potential clone entity – MY Malaysian Investment Development Authority MY Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
926,Mys_Tradevest,2022,listed in securities commision INVESTOR ALERT LIST
927,Potential clone entity – M+ Online 110,2022,listed in securities commision INVESTOR ALERT LIST
928,Millions Table / Avant Garde Takaful,2022,listed in securities commision INVESTOR ALERT LIST
929,Money Berjaya Trading,2022,listed in securities commision INVESTOR ALERT LIST
930,Master Trading Binary,2022,listed in securities commision INVESTOR ALERT LIST
931,Malaysia Financial BTC,2022,listed in securities commision INVESTOR ALERT LIST
932,Potential clone entity – Maybank Pelaburan Syariah / Maybank Islamic Pelaburan Syariah,2022,listed in securities commision INVESTOR ALERT LIST
933,Multination May Trade,2022,listed in securities commision INVESTOR ALERT LIST
934,Market Syariah,2022,listed in securities commision INVESTOR ALERT LIST
935,Potential clone entity – Maher Saham,2022,listed in securities commision INVESTOR ALERT LIST
936,Malayan Trade,2022,listed in securities commision INVESTOR ALERT LIST
937,Potential clone entity – Maybank Investment / Maybank Syariah Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
938,Mayforex / Online Trader Mayforex / Pelaburan Trading Mayforex,2022,listed in securities commision INVESTOR ALERT LIST
939,Mercado Bitcoin,2022,listed in securities commision INVESTOR ALERT LIST
940,Nexus Imperior Syariah,2022,listed in securities commision INVESTOR ALERT LIST
941,Najwan Islamic Sdn Bhd,2022,listed in securities commision INVESTOR ALERT LIST
942,NX Miner,2022,listed in securities commision INVESTOR ALERT LIST
943,Potential clone entity – NordFX Asia,2022,listed in securities commision INVESTOR ALERT LIST
944,NordFX,2022,listed in securities commision INVESTOR ALERT LIST
945,Newntrader,2022,listed in securities commision INVESTOR ALERT LIST
946,One Forever Trading,2022,listed in securities commision INVESTOR ALERT LIST
947,Potential clone entity – Octa FX Signal / Octa FX Forex Trading,2022,listed in securities commision INVESTOR ALERT LIST
948,Potential clone entity – OctaFX Trading,2022,listed in securities commision INVESTOR ALERT LIST
949,Optional Trading,2022,listed in securities commision INVESTOR ALERT LIST
950,Potential clone entity – Pelaburan Phillip,2022,listed in securities commision INVESTOR ALERT LIST
951,Pelaburan Syariah VIP,2022,listed in securities commision INVESTOR ALERT LIST
952,Pelaburan TSI Award,2022,listed in securities commision INVESTOR ALERT LIST
953,PU Prime,2022,listed in securities commision INVESTOR ALERT LIST
954,Pelaburan Syariah Saham / Saham Patuh Syariah / Bursa Saham Patuh Syariah,2022,listed in securities commision INVESTOR ALERT LIST
955,Pelaburan Crypto Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
956,Pelaburan Bitcoin Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
957,Pelaburan Holdings Profit / Saham Profit,2022,listed in securities commision INVESTOR ALERT LIST
958,Pelaburan Malaysia Global in.pro / Global in.pro,2022,listed in securities commision INVESTOR ALERT LIST
959,Prima Financial,2022,listed in securities commision INVESTOR ALERT LIST
960,Potential clone entity – Pelaburan Bursa Satu Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
961,Pelaburan Saham Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
962,Pelaburan Bursa Saham Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
963,Pelaburan Octa FX / Octa FX Trade Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
964,Project Traders / Rocket Trader / Chase The Dream Come True / LTC,2022,listed in securities commision INVESTOR ALERT LIST
965,Pelaburan Saham Online,2022,listed in securities commision INVESTOR ALERT LIST
966,Potential clone entity – Pelaburan Public Bank,2022,listed in securities commision INVESTOR ALERT LIST
967,Pelaburan Bijak Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
968,Potential clone entity – Pelaburan Bursa Syariah,2022,listed in securities commision INVESTOR ALERT LIST
969,Pelaburan Terbuka,2022,listed in securities commision INVESTOR ALERT LIST
970,Pelaburan Minda Saham,2022,listed in securities commision INVESTOR ALERT LIST
971,Pelaburan BTC Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
972,Potential clone entity – PNB Syariah Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
973,Potential clone entity – Pelaburan XM,2022,listed in securities commision INVESTOR ALERT LIST
974,Pelaburan Bursa Malaysia,2022,listed in securities commision INVESTOR ALERT LIST
975,Potential clone entity – Public Mutual Berhad Online Telegram Group,2022,listed in securities commision INVESTOR ALERT LIST
976,Pelaburan Global Saham (Investation Malaysia) / Pelaburan Bursa Saham,2022,listed in securities commision INVESTOR ALERT LIST
977,Pelaburan XM Malaysia / Saham Komuniti XM / XM Trader Malaysia / XM Master Trading / XM Member of Trader / XM Broker,2022,listed in securities commision INVESTOR ALERT LIST
